id,name,description,duration,difficulty,calories_burned,muscle_group,image
1,HIIT Workout,"High Intensity Interval Training (HIIT) workout focusing on cardio and strength exercises.",30,Intermediate,300,Cardio,"https://img.freepik.com/free-photo/dumbbells-floor-gym-ai-generative_123827-23745.jpg?t=st=1713396473~exp=1713400073~hmac=da1b4283e2ec5de1a02d36bbe8a6addd822c5ed482cffbe53a5bac3a8b82b229&w=1380"
2,Yoga Flow,"Yoga flow session combining stretching and relaxation techniques.",45,Beginner,200,Yoga,https://img.freepik.com/free-photo/young-woman-practicing-yoga-relaxation-exercises-meditating-rock-beach-copy-space_637285-5473.jpg?t=st=1713432784~exp=1713436384~hmac=1790132eb3e5a7b0d86ca8f0011d1f134d52d20fc867a4b1ac850d579883b47a&w=1380
3,Full Body Strength Training,"Full body strength training workout using dumbbells and bodyweight exercises.",60,Advanced,400,Strength,https://img.freepik.com/free-photo/full-shot-fit-man-training-abs_23-2149036349.jpg?t=st=1713432878~exp=1713436478~hmac=7c382089542266a3619e8474b7c5d8c043006fa7f4185189e863baa71f411e89&w=1380
4,Pilates Core Workout,"Pilates core workout emphasizing core strength and stability.",40,Intermediate,250,Core,https://img.freepik.com/free-photo/woman-with-pilates-trainer-practising-pilates_1303-14774.jpg?t=st=1713432968~exp=1713436568~hmac=8851fa6e30aedbc4dcbcd0a3e9d68f1bb173104cf0fa931982b53a5138427e6a&w=1380
5,Running Interval Training,"Interval running workout alternating between sprints and recovery jogs.",40,Advanced,350,Cardio,https://img.freepik.com/free-photo/athlete-prepared-run-athletics-track_123827-29602.jpg?t=st=1713433001~exp=1713436601~hmac=497eee8b32c4a1e36a418d04ea219239616451db4f3df760d0eb1cb5494be5d6&w=1380
6,Bodyweight Circuit,"Bodyweight circuit training session targeting major muscle groups.",45,Intermediate,300,Strength,https://img.freepik.com/free-photo/bodybuilding-concept-with-strong-man-barbell_23-2147675163.jpg?t=st=1713433040~exp=1713436640~hmac=19f6b7dc89ce375e28eae078b0fd397ff276fe8069f722961b36c79eb724e13a&w=1380
7,Stretching Routine,"Full body stretching routine for improved flexibility and mobility.",20,Beginner,100,Flexibility,https://img.freepik.com/free-photo/full-shot-man-stretching-outdoors_23-2148768919.jpg?t=st=1713433064~exp=1713436664~hmac=fe0a2bcda44f2e9a9e31b7c59c2f203ec5b77f4d62b5fe6f1d0c625ce5e69c85&w=1380
8,Boxing Workout,"Boxing-inspired workout incorporating punches, kicks, and cardio drills.",50,Intermediate,350,Cardio,https://img.freepik.com/free-photo/two-professional-boxer-boxing-black-smoky_155003-14259.jpg?t=st=1713433118~exp=1713436718~hmac=9a8262f26b6826c83c8797b79bb21b82e41c1135b3287500ff7236b87dfc4861&w=1380
9,Cycling Class,"Indoor cycling class focusing on endurance and leg strength.",60,Intermediate,400,Cardio,https://img.freepik.com/free-photo/professional-cyclist-women_23-2149703331.jpg?t=st=1713433146~exp=1713436746~hmac=f3b715c1159a5c86781da8e9dcdfe35472ac12426978c2dd24133a82bd2946fb&w=1380
10,TRX Suspension Training,"TRX suspension training session for total body strength and stability.",45,Advanced,350,Strength,https://img.freepik.com/free-photo/portrait-young-athletic-woman-sportswear-doing-exercise-training-legs-glutes-muscular-with-fitness-strapstrx-gym_496169-1400.jpg?t=st=1713433224~exp=1713436824~hmac=51bb3ad19bfcac90f94bdf09639763615501a57f79400414d85c583c0f2e54a2&w=1380
